SrNo,DrawingNo,PartDescription,Processes,Rate,QtyPerSet,Cost
1,Side Plate ,260 X 159 X 18,"CNC Waterjet Cutting, ",800,1,800
2,Bottom Support Plate,265 X 160 X 22,"CNC Laser Cutting, ",700,6,700
